Unnamed: 0,frequency,gain,plant,distance_cm
0,100000.0,-20.05864,aloevera,6
1,10100000.0,-3.011467,aloevera,6
2,20100000.0,-23.53929,aloevera,6
3,30100000.0,-23.20715,aloevera,6
4,40100000.0,-21.85366,aloevera,6
5,50100000.0,-20.60724,aloevera,6
6,60100000.0,-19.03566,aloevera,6
7,70100000.0,-18.29366,aloevera,6
8,80100000.0,-17.18356,aloevera,6
9,90100000.0,-16.78603,aloevera,6
10,100100000.0,-18.02991,aloevera,6
11,110100000.0,-20.08677,aloevera,6
12,120100000.0,-23.2262,aloevera,6
13,130100000.0,-24.84093,aloevera,6
14,140100000.0,-27.92521,aloevera,6
15,150100000.0,-30.07453,aloevera,6
16,160100000.0,-30.95852,aloevera,6
17,170100000.0,-33.71913,aloevera,6
18,180100000.0,-38.82607,aloevera,6
19,190100000.0,-37.46799,aloevera,6
20,200100000.0,-40.92584,aloevera,6
21,210100000.0,-38.2365,aloevera,6
22,220100000.0,-33.75899,aloevera,6
23,230100000.0,-32.01985,aloevera,6
24,240100000.0,-30.20959,aloevera,6
25,250100000.0,-28.77521,aloevera,6
26,260100000.0,-27.66801,aloevera,6
27,270100000.0,-27.01252,aloevera,6
28,280100000.0,-25.79165,aloevera,6
29,290100000.0,-24.31755,aloevera,6
30,300100000.0,-21.74021,aloevera,6
31,310100000.0,-19.14597,aloevera,6
32,320100000.0,-17.98906,aloevera,6
33,330100000.0,-15.33052,aloevera,6
34,340100000.0,-15.12178,aloevera,6
35,350100000.0,-16.20467,aloevera,6
36,360100000.0,-17.09121,aloevera,6
37,370100000.0,-17.66423,aloevera,6
38,380100000.0,-18.76584,aloevera,6
39,390100000.0,-19.78286,aloevera,6
40,400100000.0,-20.91493,aloevera,6
41,410100000.0,-22.35478,aloevera,6
42,420100000.0,-24.50315,aloevera,6
43,430100000.0,-27.89648,aloevera,6
44,440100000.0,-31.09625,aloevera,6
45,450100000.0,-34.15893,aloevera,6
46,460100000.0,-37.687,aloevera,6
47,470100000.0,-39.87898,aloevera,6
48,480100000.0,-40.19865,aloevera,6
49,490100000.0,-39.55637,aloevera,6
50,500100000.0,-38.77911,aloevera,6
51,510100000.0,-36.96387,aloevera,6
52,520100000.0,-34.93621,aloevera,6
53,530100000.0,-33.47451,aloevera,6
54,540100000.0,-31.93671,aloevera,6
55,550100000.0,-30.70854,aloevera,6
56,560100000.0,-29.12924,aloevera,6
57,570100000.0,-28.20103,aloevera,6
58,580100000.0,-27.36597,aloevera,6
59,590100000.0,-26.7901,aloevera,6
60,600100000.0,-27.22593,aloevera,6
61,610100000.0,-27.26364,aloevera,6
62,620100000.0,-27.10569,aloevera,6
63,630100000.0,-27.38224,aloevera,6
64,640100000.0,-27.70245,aloevera,6
65,650100000.0,-28.28115,aloevera,6
66,660100000.0,-28.68191,aloevera,6
67,670100000.0,-28.83949,aloevera,6
68,680100000.0,-28.87222,aloevera,6
69,690100000.0,-28.88096,aloevera,6
70,700100000.0,-29.46963,aloevera,6
71,710100000.0,-29.01644,aloevera,6
72,720100000.0,-29.64162,aloevera,6
73,730100000.0,-31.25657,aloevera,6
74,740100000.0,-33.63987,aloevera,6
75,750100000.0,-36.15615,aloevera,6
76,760100000.0,-37.88133,aloevera,6
77,770100000.0,-40.61081,aloevera,6
78,780100000.0,-42.95095,aloevera,6
79,790100000.0,-44.11928,aloevera,6
80,800100000.0,-43.98832,aloevera,6
81,810100000.0,-42.40362,aloevera,6
82,820100000.0,-39.43078,aloevera,6
83,830100000.0,-36.54077,aloevera,6
84,840100000.0,-34.08236,aloevera,6
85,850100000.0,-31.52304,aloevera,6
86,860100000.0,-29.29858,aloevera,6
87,870100000.0,-27.39665,aloevera,6
88,880100000.0,-25.73223,aloevera,6
89,890100000.0,-24.74618,aloevera,6
90,900100000.0,-24.3776,aloevera,6
91,910100000.0,-24.35949,aloevera,6
92,920100000.0,-25.0673,aloevera,6
