,frequency,gain,plant,distance
0,100000.0,-16.78035,succulente,8
1,1166633.3333333333,-18.09085,succulente,8
2,2233266.6666666665,-19.40134,succulente,8
3,3299900.0,-20.71184,succulente,8
4,4366533.333333333,-22.02234,succulente,8
5,5433166.666666666,-23.33284,succulente,8
6,6499800.0,-23.45574,succulente,8
7,7566433.333333333,-23.57864,succulente,8
8,8633066.666666666,-23.70154,succulente,8
9,9699700.0,-23.82444,succulente,8
10,10766333.333333332,-23.94733,succulente,8
11,11832966.666666666,-23.94675,succulente,8
12,12899600.0,-23.94616,succulente,8
13,13966233.333333332,-23.94557,succulente,8
14,15032866.666666666,-23.94498,succulente,8
15,16099499.999999998,-23.9444,succulente,8
16,17166133.333333332,-23.99012,succulente,8
17,18232766.666666664,-24.03583,succulente,8
18,19299400.0,-24.08155,succulente,8
19,20366033.333333332,-24.12727,succulente,8
20,21432666.666666664,-24.17299,succulente,8
21,22499300.0,-24.04904,succulente,8
22,23565933.333333332,-23.9251,succulente,8
23,24632566.666666664,-23.80116,succulente,8
24,25699200.0,-23.67721,succulente,8
25,26765833.333333332,-23.55327,succulente,8
26,27832466.666666664,-23.5038,succulente,8
27,28899099.999999996,-23.45433,succulente,8
28,29965733.333333332,-23.40486,succulente,8
29,31032366.666666664,-23.35539,succulente,8
30,32098999.999999996,-23.30593,succulente,8
31,33165633.333333332,-23.23726,succulente,8
32,34232266.666666664,-23.16859,succulente,8
33,35298900.0,-23.09992,succulente,8
34,36365533.33333333,-23.03125,succulente,8
35,37432166.666666664,-22.96259,succulente,8
36,38498800.0,-22.88495,succulente,8
37,39565433.33333333,-22.80732,succulente,8
38,40632066.666666664,-22.72969,succulente,8
39,41698700.0,-22.65206,succulente,8
40,42765333.33333333,-22.57442,succulente,8
41,43831966.666666664,-22.47368,succulente,8
42,44898600.0,-22.37294,succulente,8
43,45965233.33333333,-22.2722,succulente,8
44,47031866.666666664,-22.17145,succulente,8
45,48098500.0,-22.07071,succulente,8
46,49165133.33333333,-21.96074,succulente,8
47,50231766.666666664,-21.85077,succulente,8
48,51298400.0,-21.7408,succulente,8
49,52365033.33333333,-21.63083,succulente,8
50,53431666.666666664,-21.52086,succulente,8
51,54498299.99999999,-21.39735,succulente,8
52,55564933.33333333,-21.27384,succulente,8
53,56631566.666666664,-21.15032,succulente,8
54,57698199.99999999,-21.02681,succulente,8
55,58764833.33333333,-20.9033,succulente,8
56,59831466.666666664,-20.73305,succulente,8
57,60898099.99999999,-20.5628,succulente,8
58,61964733.33333333,-20.39254,succulente,8
59,63031366.666666664,-20.22229,succulente,8
60,64097999.99999999,-20.05204,succulente,8
61,65164633.33333333,-19.86852,succulente,8
62,66231266.666666664,-19.685,succulente,8
63,67297900.0,-19.50147,succulente,8
64,68364533.33333333,-19.31795,succulente,8
65,69431166.66666666,-19.13442,succulente,8
66,70497800.0,-18.97946,succulente,8
67,71564433.33333333,-18.8245,succulente,8
68,72631066.66666666,-18.66954,succulente,8
69,73697700.0,-18.51458,succulente,8
70,74764333.33333333,-18.35962,succulente,8
71,75830966.66666666,-18.21411,succulente,8
72,76897600.0,-18.0686,succulente,8
73,77964233.33333333,-17.92309,succulente,8
74,79030866.66666666,-17.77758,succulente,8
75,80097500.0,-17.63207,succulente,8
76,81164133.33333333,-17.50148,succulente,8
77,82230766.66666666,-17.37089,succulente,8
78,83297400.0,-17.2403,succulente,8
79,84364033.33333333,-17.1097,succulente,8
80,85430666.66666666,-16.97912,succulente,8
81,86497300.0,-16.89171,succulente,8
82,87563933.33333333,-16.8043,succulente,8
