,frequency,gain,plant,distance
0,100000.0,-17.63676,aloevera,20
1,1166633.3333333333,-27.17507,aloevera,20
2,2233266.6666666665,-36.71338,aloevera,20
3,3299900.0,-46.25169,aloevera,20
4,4366533.333333333,-55.78999,aloevera,20
5,5433166.666666666,-65.32831,aloevera,20
6,6499800.0,-65.50683,aloevera,20
7,7566433.333333333,-65.68535,aloevera,20
8,8633066.666666666,-65.86387,aloevera,20
9,9699700.0,-66.04239,aloevera,20
10,10766333.333333332,-66.22089,aloevera,20
11,11832966.666666666,-66.24976,aloevera,20
12,12899600.0,-66.27863,aloevera,20
13,13966233.333333332,-66.3075,aloevera,20
14,15032866.666666666,-66.33637,aloevera,20
15,16099499.999999998,-66.36525,aloevera,20
16,17166133.333333332,-66.12004,aloevera,20
17,18232766.666666664,-65.87483,aloevera,20
18,19299400.0,-65.62962,aloevera,20
19,20366033.333333332,-65.38441,aloevera,20
20,21432666.666666664,-65.13921,aloevera,20
21,22499300.0,-65.20835,aloevera,20
22,23565933.333333332,-65.27749,aloevera,20
23,24632566.666666664,-65.34663,aloevera,20
24,25699200.0,-65.41576,aloevera,20
25,26765833.333333332,-65.48492,aloevera,20
26,27832466.666666664,-65.74101,aloevera,20
27,28899099.999999996,-65.99711,aloevera,20
28,29965733.333333332,-66.2532,aloevera,20
29,31032366.666666664,-66.5093,aloevera,20
30,32098999.999999996,-66.76539,aloevera,20
31,33165633.333333332,-66.92066,aloevera,20
32,34232266.666666664,-67.07594,aloevera,20
33,35298900.0,-67.23121,aloevera,20
34,36365533.33333333,-67.38648,aloevera,20
35,37432166.666666664,-67.54176,aloevera,20
36,38498800.0,-67.58709,aloevera,20
37,39565433.33333333,-67.63242,aloevera,20
38,40632066.666666664,-67.67776,aloevera,20
39,41698700.0,-67.72309,aloevera,20
40,42765333.33333333,-67.76841,aloevera,20
41,43831966.666666664,-68.0019,aloevera,20
42,44898600.0,-68.23539,aloevera,20
43,45965233.33333333,-68.46888,aloevera,20
44,47031866.666666664,-68.70237,aloevera,20
45,48098500.0,-68.93587,aloevera,20
46,49165133.33333333,-68.87901,aloevera,20
47,50231766.666666664,-68.82216,aloevera,20
48,51298400.0,-68.7653,aloevera,20
49,52365033.33333333,-68.70845,aloevera,20
50,53431666.666666664,-68.65161,aloevera,20
51,54498299.99999999,-68.59228,aloevera,20
52,55564933.33333333,-68.53294,aloevera,20
53,56631566.666666664,-68.47361,aloevera,20
54,57698199.99999999,-68.41428,aloevera,20
55,58764833.33333333,-68.35495,aloevera,20
56,59831466.666666664,-68.66211,aloevera,20
57,60898099.99999999,-68.96927,aloevera,20
58,61964733.33333333,-69.27643,aloevera,20
59,63031366.666666664,-69.58359,aloevera,20
60,64097999.99999999,-69.89076,aloevera,20
61,65164633.33333333,-69.0358,aloevera,20
62,66231266.666666664,-68.18083,aloevera,20
63,67297900.0,-67.32587,aloevera,20
64,68364533.33333333,-66.4709,aloevera,20
65,69431166.66666666,-65.61594,aloevera,20
66,70497800.0,-65.83987,aloevera,20
67,71564433.33333333,-66.06381,aloevera,20
68,72631066.66666666,-66.28775,aloevera,20
69,73697700.0,-66.51169,aloevera,20
70,74764333.33333333,-66.73563,aloevera,20
71,75830966.66666666,-66.43275,aloevera,20
72,76897600.0,-66.12987,aloevera,20
73,77964233.33333333,-65.82699,aloevera,20
74,79030866.66666666,-65.52411,aloevera,20
75,80097500.0,-65.22123,aloevera,20
76,81164133.33333333,-61.45794,aloevera,20
77,82230766.66666666,-57.69464,aloevera,20
78,83297400.0,-53.93135,aloevera,20
79,84364033.33333333,-50.16805,aloevera,20
80,85430666.66666666,-46.40475,aloevera,20
81,86497300.0,-47.30027,aloevera,20
82,87563933.33333333,-48.19579,aloevera,20
83,88630566.66666666,-49.0913,aloevera,20
84,89697200.0,-49.98682,aloevera,20
85,90763833.33333333,-50.88233,aloevera,20
86,91830466.66666666,-53.26388,aloevera,20
87,92897100.0,-55.64542,aloevera,20
88,93963733.33333333,-58.02697,aloevera,20
89,95030366.66666666,-60.40852,aloevera,20
90,96097000.0,-62.79005,aloevera,20
91,97163633.33333333,-60.69783,aloevera,20
92,98230266.66666666,-58.60561,aloevera,20
93,99296900.0,-56.51338,aloevera,20
94,100363533.33333333,-54.42116,aloevera,20
95,101430166.66666666,-52.32893,aloevera,20
96,102496800.0,-53.15514,aloevera,20
97,103563433.33333333,-53.98134,aloevera,20
98,104630066.66666666,-54.80754,aloevera,20
99,105696699.99999999,-55.63374,aloevera,20
100,106763333.33333333,-56.45995,aloevera,20
101,107829966.66666666,-57.34238,aloevera,20
102,108896599.99999999,-58.22482,aloevera,20
103,109963233.33333333,-59.10725,aloevera,20
104,111029866.66666666,-59.98968,aloevera,20
105,112096499.99999999,-60.87211,aloevera,20
106,113163133.33333333,-61.5683,aloevera,20
107,114229766.66666666,-62.26449,aloevera,20
108,115296399.99999999,-62.96068,aloevera,20
109,116363033.33333333,-63.65687,aloevera,20
110,117429666.66666666,-64.35305,aloevera,20
111,118496299.99999999,-64.09235,aloevera,20
112,119562933.33333333,-63.83165,aloevera,20
113,120629566.66666666,-63.57095,aloevera,20
114,121696199.99999999,-63.31025,aloevera,20
115,122762833.33333333,-63.04955,aloevera,20
116,123829466.66666666,-63.87784,aloevera,20
117,124896099.99999999,-64.70613,aloevera,20
118,125962733.33333333,-65.53442,aloevera,20
119,127029366.66666666,-66.36272,aloevera,20
120,128095999.99999999,-67.19101,aloevera,20
121,129162633.33333333,-66.91848,aloevera,20
122,130229266.66666666,-66.64595,aloevera,20
123,131295899.99999999,-66.37342,aloevera,20
124,132362533.33333333,-66.10089,aloevera,20
125,133429166.66666666,-65.82837,aloevera,20
126,134495800.0,-66.07702,aloevera,20
127,135562433.3333333,-66.32567,aloevera,20
128,136629066.66666666,-66.57432,aloevera,20
129,137695700.0,-66.82297,aloevera,20
130,138762333.3333333,-67.07162,aloevera,20
131,139828966.66666666,-67.47091,aloevera,20
132,140895600.0,-67.8702,aloevera,20
133,141962233.3333333,-68.26949,aloevera,20
134,143028866.66666666,-68.66879,aloevera,20
135,144095500.0,-69.06809,aloevera,20
136,145162133.3333333,-68.92085,aloevera,20
137,146228766.66666666,-68.7736,aloevera,20
138,147295400.0,-68.62635,aloevera,20
139,148362033.3333333,-68.4791,aloevera,20
140,149428666.66666666,-68.33186,aloevera,20
141,150495300.0,-68.0548,aloevera,20
142,151561933.3333333,-67.77775,aloevera,20
143,152628566.66666666,-67.50069,aloevera,20
144,153695200.0,-67.22364,aloevera,20
145,154761833.3333333,-66.9466,aloevera,20
146,155828466.66666666,-67.5096,aloevera,20
