,frequency,gain,plant,distance
0,100000.0,-11.59103,lilium,20
1,1166633.3333333333,-19.81944,lilium,20
2,2233266.6666666665,-28.04786,lilium,20
3,3299900.0,-36.27628,lilium,20
4,4366533.333333333,-44.50469,lilium,20
5,5433166.666666666,-52.73311,lilium,20
6,6499800.0,-52.78365,lilium,20
7,7566433.333333333,-52.83419,lilium,20
8,8633066.666666666,-52.88473,lilium,20
9,9699700.0,-52.93527,lilium,20
10,10766333.333333332,-52.98582,lilium,20
11,11832966.666666666,-53.25207,lilium,20
12,12899600.0,-53.51831,lilium,20
13,13966233.333333332,-53.78456,lilium,20
14,15032866.666666666,-54.05081,lilium,20
15,16099499.999999998,-54.31705,lilium,20
16,17166133.333333332,-53.88865,lilium,20
17,18232766.666666664,-53.46024,lilium,20
18,19299400.0,-53.03184,lilium,20
19,20366033.333333332,-52.60344,lilium,20
20,21432666.666666664,-52.17504,lilium,20
21,22499300.0,-52.21477,lilium,20
22,23565933.333333332,-52.2545,lilium,20
23,24632566.666666664,-52.29423,lilium,20
24,25699200.0,-52.33396,lilium,20
25,26765833.333333332,-52.37369,lilium,20
26,27832466.666666664,-52.46994,lilium,20
27,28899099.999999996,-52.56619,lilium,20
28,29965733.333333332,-52.66245,lilium,20
29,31032366.666666664,-52.7587,lilium,20
30,32098999.999999996,-52.85495,lilium,20
31,33165633.333333332,-52.94652,lilium,20
32,34232266.666666664,-53.03809,lilium,20
33,35298900.0,-53.12967,lilium,20
34,36365533.33333333,-53.22124,lilium,20
35,37432166.666666664,-53.31281,lilium,20
36,38498800.0,-53.50082,lilium,20
37,39565433.33333333,-53.68883,lilium,20
38,40632066.666666664,-53.87683,lilium,20
39,41698700.0,-54.06484,lilium,20
40,42765333.33333333,-54.25285,lilium,20
41,43831966.666666664,-54.11541,lilium,20
42,44898600.0,-53.97796,lilium,20
43,45965233.33333333,-53.84051,lilium,20
44,47031866.666666664,-53.70306,lilium,20
45,48098500.0,-53.56561,lilium,20
46,49165133.33333333,-53.58321,lilium,20
47,50231766.666666664,-53.60081,lilium,20
48,51298400.0,-53.61841,lilium,20
49,52365033.33333333,-53.63601,lilium,20
50,53431666.666666664,-53.65361,lilium,20
51,54498299.99999999,-53.51427,lilium,20
52,55564933.33333333,-53.37493,lilium,20
53,56631566.666666664,-53.23559,lilium,20
54,57698199.99999999,-53.09625,lilium,20
55,58764833.33333333,-52.95691,lilium,20
56,59831466.666666664,-52.90904,lilium,20
57,60898099.99999999,-52.86118,lilium,20
58,61964733.33333333,-52.81331,lilium,20
59,63031366.666666664,-52.76544,lilium,20
60,64097999.99999999,-52.71758,lilium,20
61,65164633.33333333,-52.60593,lilium,20
62,66231266.666666664,-52.49427,lilium,20
63,67297900.0,-52.38261,lilium,20
64,68364533.33333333,-52.27096,lilium,20
65,69431166.66666666,-52.1593,lilium,20
66,70497800.0,-52.06705,lilium,20
67,71564433.33333333,-51.9748,lilium,20
68,72631066.66666666,-51.88255,lilium,20
69,73697700.0,-51.79029,lilium,20
70,74764333.33333333,-51.69804,lilium,20
71,75830966.66666666,-51.68037,lilium,20
72,76897600.0,-51.6627,lilium,20
73,77964233.33333333,-51.64503,lilium,20
74,79030866.66666666,-51.62737,lilium,20
75,80097500.0,-51.6097,lilium,20
76,81164133.33333333,-50.39248,lilium,20
77,82230766.66666666,-49.17525,lilium,20
78,83297400.0,-47.95803,lilium,20
79,84364033.33333333,-46.74081,lilium,20
80,85430666.66666666,-45.52357,lilium,20
81,86497300.0,-45.71306,lilium,20
82,87563933.33333333,-45.90255,lilium,20
83,88630566.66666666,-46.09204,lilium,20
84,89697200.0,-46.28152,lilium,20
85,90763833.33333333,-46.47101,lilium,20
86,91830466.66666666,-46.3191,lilium,20
87,92897100.0,-46.16718,lilium,20
88,93963733.33333333,-46.01527,lilium,20
89,95030366.66666666,-45.86336,lilium,20
90,96097000.0,-45.71145,lilium,20
91,97163633.33333333,-46.11285,lilium,20
92,98230266.66666666,-46.51424,lilium,20
93,99296900.0,-46.91564,lilium,20
94,100363533.33333333,-47.31704,lilium,20
95,101430166.66666666,-47.71843,lilium,20
96,102496800.0,-47.60008,lilium,20
97,103563433.33333333,-47.48173,lilium,20
98,104630066.66666666,-47.36338,lilium,20
99,105696699.99999999,-47.24503,lilium,20
100,106763333.33333333,-47.12667,lilium,20
101,107829966.66666666,-46.96719,lilium,20
102,108896599.99999999,-46.8077,lilium,20
103,109963233.33333333,-46.64822,lilium,20
104,111029866.66666666,-46.48873,lilium,20
105,112096499.99999999,-46.32924,lilium,20
106,113163133.33333333,-46.19544,lilium,20
107,114229766.66666666,-46.06164,lilium,20
108,115296399.99999999,-45.92784,lilium,20
109,116363033.33333333,-45.79404,lilium,20
110,117429666.66666666,-45.66024,lilium,20
111,118496299.99999999,-45.60123,lilium,20
112,119562933.33333333,-45.54222,lilium,20
113,120629566.66666666,-45.48322,lilium,20
114,121696199.99999999,-45.42421,lilium,20
115,122762833.33333333,-45.3652,lilium,20
116,123829466.66666666,-45.34478,lilium,20
117,124896099.99999999,-45.32436,lilium,20
118,125962733.33333333,-45.30393,lilium,20
119,127029366.66666666,-45.28351,lilium,20
120,128095999.99999999,-45.26308,lilium,20
121,129162633.33333333,-45.20888,lilium,20
122,130229266.66666666,-45.15468,lilium,20
123,131295899.99999999,-45.10048,lilium,20
124,132362533.33333333,-45.04627,lilium,20
125,133429166.66666666,-44.99207,lilium,20
126,134495800.0,-45.09455,lilium,20
127,135562433.3333333,-45.19703,lilium,20
128,136629066.66666666,-45.29951,lilium,20
129,137695700.0,-45.40199,lilium,20
130,138762333.3333333,-45.50446,lilium,20
131,139828966.66666666,-45.83275,lilium,20
132,140895600.0,-46.16105,lilium,20
133,141962233.3333333,-46.48934,lilium,20
134,143028866.66666666,-46.81763,lilium,20
135,144095500.0,-47.14592,lilium,20
136,145162133.3333333,-47.44342,lilium,20
137,146228766.66666666,-47.74092,lilium,20
138,147295400.0,-48.03842,lilium,20
139,148362033.3333333,-48.33592,lilium,20
140,149428666.66666666,-48.63342,lilium,20
141,150495300.0,-48.94611,lilium,20
142,151561933.3333333,-49.2588,lilium,20
143,152628566.66666666,-49.57149,lilium,20
144,153695200.0,-49.88418,lilium,20
145,154761833.3333333,-50.19687,lilium,20
146,155828466.66666666,-50.29873,lilium,20
147,156895100.0,-50.4006,lilium,20
148,157961733.3333333,-50.50246,lilium,20
149,159028366.66666666,-50.60432,lilium,20
150,160095000.0,-50.70618,lilium,20
151,161161633.3333333,-50.70451,lilium,20
152,162228266.66666666,-50.70284,lilium,20
153,163294900.0,-50.70116,lilium,20
154,164361533.3333333,-50.69949,lilium,20
155,165428166.66666666,-50.6978,lilium,20
156,166494800.0,-50.52013,lilium,20
157,167561433.3333333,-50.34245,lilium,20
158,168628066.66666666,-50.16477,lilium,20
159,169694700.0,-49.98709,lilium,20
160,170761333.3333333,-49.80941,lilium,20
161,171827966.66666666,-49.74592,lilium,20
162,172894600.0,-49.68243,lilium,20
163,173961233.3333333,-49.61893,lilium,20
164,175027866.66666666,-49.55544,lilium,20
165,176094500.0,-49.49195,lilium,20
166,177161133.3333333,-49.44789,lilium,20
167,178227766.66666666,-49.40383,lilium,20
168,179294400.0,-49.35977,lilium,20
169,180361033.3333333,-49.31571,lilium,20
170,181427666.66666666,-49.27165,lilium,20
171,182494300.0,-49.66187,lilium,20
172,183560933.3333333,-50.05208,lilium,20
173,184627566.66666666,-50.44229,lilium,20
174,185694200.0,-50.8325,lilium,20
175,186760833.3333333,-51.22272,lilium,20
176,187827466.66666666,-51.64405,lilium,20
177,188894100.0,-52.06537,lilium,20
178,189960733.3333333,-52.48669,lilium,20
179,191027366.66666666,-52.90801,lilium,20
180,192094000.0,-53.32934,lilium,20
181,193160633.3333333,-53.19516,lilium,20
182,194227266.66666666,-53.06097,lilium,20
183,195293900.0,-52.92679,lilium,20
184,196360533.3333333,-52.79261,lilium,20
185,197427166.66666666,-52.65842,lilium,20
186,198493800.0,-52.47678,lilium,20
187,199560433.3333333,-52.29514,lilium,20
188,200627066.66666666,-52.1135,lilium,20
189,201693700.0,-51.93186,lilium,20
190,202760333.3333333,-51.75022,lilium,20
191,203826966.66666666,-51.5808,lilium,20
192,204893600.0,-51.41137,lilium,20
193,205960233.3333333,-51.24194,lilium,20
194,207026866.66666666,-51.07252,lilium,20
195,208093499.99999997,-50.90308,lilium,20
196,209160133.3333333,-50.6016,lilium,20
197,210226766.66666666,-50.30012,lilium,20
198,211293399.99999997,-49.99863,lilium,20
199,212360033.3333333,-49.69715,lilium,20
200,213426666.66666666,-49.39566,lilium,20
201,214493299.99999997,-49.27468,lilium,20
202,215559933.3333333,-49.1537,lilium,20
203,216626566.66666666,-49.03271,lilium,20
204,217693199.99999997,-48.91173,lilium,20
205,218759833.3333333,-48.79074,lilium,20
206,219826466.66666666,-48.58782,lilium,20
207,220893099.99999997,-48.38489,lilium,20
208,221959733.3333333,-48.18196,lilium,20
209,223026366.66666666,-47.97904,lilium,20
210,224092999.99999997,-47.77612,lilium,20
211,225159633.3333333,-47.73027,lilium,20
212,226226266.66666666,-47.68443,lilium,20
213,227292899.99999997,-47.63858,lilium,20
214,228359533.3333333,-47.59274,lilium,20
215,229426166.66666666,-47.5469,lilium,20
216,230492799.99999997,-47.4544,lilium,20
217,231559433.3333333,-47.36191,lilium,20
218,232626066.66666666,-47.26941,lilium,20
219,233692699.99999997,-47.17692,lilium,20
220,234759333.3333333,-47.08442,lilium,20
221,235825966.66666666,-47.0293,lilium,20
222,236892599.99999997,-46.97418,lilium,20
223,237959233.3333333,-46.91906,lilium,20
224,239025866.66666666,-46.86394,lilium,20
225,240092499.99999997,-46.80882,lilium,20
226,241159133.3333333,-46.77047,lilium,20
227,242225766.66666666,-46.73213,lilium,20
228,243292399.99999997,-46.69379,lilium,20
229,244359033.3333333,-46.65545,lilium,20
230,245425666.66666666,-46.61712,lilium,20
231,246492299.99999997,-46.66933,lilium,20
232,247558933.3333333,-46.72154,lilium,20
233,248625566.66666666,-46.77375,lilium,20
234,249692199.99999997,-46.82596,lilium,20
235,250758833.3333333,-46.87818,lilium,20
236,251825466.66666666,-47.09975,lilium,20
237,252892099.99999997,-47.32131,lilium,20
238,253958733.3333333,-47.54288,lilium,20
239,255025366.66666666,-47.76444,lilium,20
240,256091999.99999997,-47.986,lilium,20
241,257158633.3333333,-48.33149,lilium,20
242,258225266.66666666,-48.67699,lilium,20
243,259291899.99999997,-49.02248,lilium,20
244,260358533.3333333,-49.36797,lilium,20
245,261425166.66666666,-49.71346,lilium,20
246,262491799.99999997,-50.03093,lilium,20
247,263558433.3333333,-50.34841,lilium,20
248,264625066.66666666,-50.66588,lilium,20
249,265691699.99999997,-50.98336,lilium,20
250,266758333.3333333,-51.30083,lilium,20
251,267824966.66666666,-51.5027,lilium,20
252,268891600.0,-51.70457,lilium,20
253,269958233.3333333,-51.90645,lilium,20
254,271024866.6666666,-52.10832,lilium,20
255,272091500.0,-52.3102,lilium,20
256,273158133.3333333,-52.57206,lilium,20
257,274224766.6666666,-52.83393,lilium,20
258,275291400.0,-53.0958,lilium,20
